gini_final,mean_wealth_final,total_wealth_final,alive_final,upper_frac_final,lower_frac_final,stability_final,regime_final,coop_share_final,comp_share_final,neutral_share_final,dominant_strategy_final,strategy_entropy_final,gini_mean,gini_std,gini_max,gini_min,gini_trend,n_collapses,total_collapse_steps,mean_collapse_duration,frac_collapsed,strategic_volatility,condition,rep,seed,actual_steps
0.13294985979268328,653.6905884427041,27455.00471459357,42,0.023809523809523808,0.023809523809523808,0.001,collapsed,0.047619047619047616,0.5238095238095238,0.42857142857142855,competitive,1.221694907636328,0.2596178901026974,0.09121316616550637,0.5378456653470501,0.13274554117365156,-0.00019717554774940606,1,1416,1416.0,0.944,0.01200800533689126,baseline,10,47187,1500
0.21962874949050684,973.9174544945155,44800.20290674771,46,0.08695652173913043,0.043478260869565216,0.001,collapsed,0.5217391304347826,0.08695652173913043,0.391304347826087,cooperative,1.325784781203331,0.29761439987413546,0.09235671882167389,0.5440817018042163,0.2179465723815285,-0.00018643851799507195,1,1408,1408.0,0.9386666666666666,0.01667778519012675,baseline,11,47188,1500
0.19104991273776903,811.0256000209372,32441.024000837486,40,0.05,0.025,0.001,collapsed,0.2,0.475,0.325,competitive,1.5015196176058043,0.2744840905371689,0.09398743829156453,0.5718322977242153,0.18828589485041025,-0.00018829131768827528,1,1416,1416.0,0.944,0.00733822548365577,baseline,12,47189,1500
0.19433173264506592,566.20215712716,28310.107856358,50,0.08,0.06,0.001,collapsed,0.28,0.36,0.36,competitive,1.5754508105601306,0.2719624888222752,0.06977629140411314,0.5125974010632475,0.19061200439357986,-0.00013637430779036284,1,1415,1415.0,0.9433333333333334,0.022014676450967312,baseline,13,47190,1500
0.16968159735842636,1021.115701711029,30633.47105133087,30,0.06666666666666667,0.03333333333333333,0.001,collapsed,0.2,0.43333333333333335,0.36666666666666664,competitive,1.5179159574361383,0.23891557374166947,0.0773372810216432,0.5199198877276161,0.16968159735842636,-0.00013160639795468392,1,1414,1414.0,0.9426666666666667,0.01734489659773182,baseline,14,47191,1500
0.2024774566910516,812.5616466187657,44690.89056403212,55,0.03636363636363636,0.10909090909090909,0.001,collapsed,0.18181818181818182,0.5818181818181818,0.23636363636363636,competitive,1.3936324901663357,0.3120423227798614,0.09723625203675158,0.5844612492704442,0.20198796202515096,-0.0002030863285771592,1,1413,1413.0,0.942,0.0066711140760507,baseline,15,47192,1500
0.11322532944939576,891.7799894064743,16052.039809316539,18,0.0,0.0,0.001,collapsed,0.5,0.2777777777777778,0.2222222222222222,cooperative,1.4955380299191112,0.23096741289926423,0.10794606821923144,0.6001200830674827,0.11209186631403721,-0.0002219633819716022,1,1416,1416.0,0.944,0.004669779853235491,baseline,16,47193,1500
0.21520577223674042,510.74111989397977,21961.86815544113,43,0.11627906976744186,0.11627906976744186,0.001,collapsed,0.18604651162790697,0.37209302325581395,0.4418604651162791,neutral,1.5027618999246997,0.2966744061946229,0.07294997883531742,0.556196803320481,0.2133323769473033,-0.0001462348319143731,1,1416,1416.0,0.944,0.00533689126084056,baseline,17,47194,1500
0.21577980554689907,749.9326607359087,28497.441107964532,38,0.02631578947368421,0.05263157894736842,0.001,collapsed,0.07894736842105263,0.5789473684210527,0.34210526315789475,competitive,1.275082791127317,0.3112871590599058,0.07027346140592519,0.5625259825350698,0.21577980554689907,-0.00014841070072071853,1,1412,1412.0,0.9413333333333334,0.004002668445630421,baseline,18,47195,1500
0.1405166879946753,910.1359387095198,43686.52505805695,48,0.10416666666666667,0.041666666666666664,0.001,collapsed,0.14583333333333334,0.4583333333333333,0.3958333333333333,competitive,1.4501791086409086,0.29854319548338615,0.11387205763850422,0.6225602032666624,0.1405166879946753,-0.00025099860024549583,1,1412,1412.0,0.9413333333333334,0.0133422281521014,baseline,19,47196,1500
0.21611181032355964,591.3275398077122,22470.446512693066,38,0.07894736842105263,0.02631578947368421,0.001,collapsed,0.3157894736842105,0.39473684210526316,0.2894736842105263,competitive,1.5722260200806402,0.29604913178527614,0.09088496685723346,0.5751435614824514,0.20956283830187095,-0.00017122931427494508,1,1413,1413.0,0.942,0.0066711140760507,baseline,20,47197,1500
0.14736259939194246,617.3392232889144,25310.90815484549,41,0.07317073170731707,0.04878048780487805,0.001,collapsed,0.21951219512195122,0.36585365853658536,0.4146341463414634,neutral,1.5375629253896848,0.23184852958220015,0.09011039141924974,0.5098171931469457,0.14648530384390746,-0.0001720108364282948,1,1409,1409.0,0.9393333333333334,0.015343562374916611,baseline,21,47198,1500
0.21679387538421124,602.439297465751,36748.79714541081,61,0.08196721311475409,0.11475409836065574,0.001,collapsed,0.26229508196721313,0.4426229508196721,0.29508196721311475,competitive,1.5464650001141114,0.2702438538361284,0.061633231477587064,0.4913796188024972,0.21087618050815682,-9.514011273314533e-05,1,1409,1409.0,0.9393333333333334,0.00133422281521014,baseline,22,47199,1500
0.25948226384982354,674.6702496533637,25637.46948682782,38,0.18421052631578946,0.07894736842105263,0.001,collapsed,0.18421052631578946,0.5,0.3157894736842105,competitive,1.4747260076939743,0.3331384145707366,0.06705553825513628,0.5315161726429196,0.25857903037459967,-0.00014295177793783177,1,1411,1411.0,0.9406666666666667,0.01801200800533689,baseline,23,47200,1500
0.22015491681909702,868.5178449996536,22581.463969990993,26,0.11538461538461539,0.0,0.001,collapsed,0.23076923076923078,0.5769230769230769,0.19230769230769232,competitive,1.4034099330298797,0.30008167527971846,0.09304299489832529,0.5624186707364355,0.20884929350928766,-0.00019255785900591384,1,1416,1416.0,0.944,0.015343562374916611,baseline,24,47201,1500
0.16431391318013353,799.3882902051021,35173.08476902449,44,0.045454545454545456,0.0,0.001,collapsed,0.3181818181818182,0.3181818181818182,0.36363636363636365,neutral,1.5820239409642765,0.24202558792423687,0.08184859732448638,0.5222935999593487,0.16367666781921453,-0.00015728767401016014,1,1410,1410.0,0.94,0.01200800533689126,baseline,25,47202,1500
0.14324991020244868,834.3117764870116,30869.53573001943,37,0.05405405405405406,0.02702702702702703,0.001,collapsed,0.1891891891891892,0.5405405405405406,0.2702702702702703,competitive,1.4443364115472173,0.2588470530421121,0.10304377332672085,0.5600970337121498,0.14277742104862118,-0.0002080959899194464,1,1411,1411.0,0.9406666666666667,0.00533689126084056,baseline,26,47203,1500
0.2266945219355626,709.2059949445253,34041.887757337216,48,0.10416666666666667,0.1875,0.001,collapsed,0.20833333333333334,0.625,0.16666666666666666,competitive,1.3260875253642983,0.3053713246910598,0.07698450942567799,0.5914049060840605,0.2266945219355626,-0.0001519017664225378,1,1412,1412.0,0.9413333333333334,0.01667778519012675,baseline,27,47204,1500
0.21049072306597652,745.0637857326482,37998.253072365056,51,0.0784313725490196,0.058823529411764705,0.001,collapsed,0.058823529411764705,0.47058823529411764,0.47058823529411764,competitive,1.2639334294856335,0.2829971215637464,0.07033226336851825,0.5234511968847985,0.21049072306597652,-0.00013161277573529333,1,1413,1413.0,0.942,0.014009339559706471,baseline,28,47205,1500
0.15657600817845022,599.2282516018056,22171.445309266808,37,0.0,0.05405405405405406,0.001,collapsed,0.43243243243243246,0.35135135135135137,0.21621621621621623,cooperative,1.530920491687485,0.25118947800883545,0.08347019509745592,0.5403433658934377,0.15629442760545537,-0.0001703589648897196,1,1415,1415.0,0.9433333333333334,0.0200133422281521,baseline,29,47206,1500
